Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MAE_Level
DecisionTree,0.6153846153846154,0.5833333333333333,0.5666666666666667,0.5523809523809524,0.46153846153846156
RandomForest,0.6153846153846154,0.4333333333333333,0.5333333333333333,0.47619047619047616,0.46153846153846156
SVM-RBF,0.5384615384615384,0.37,0.4666666666666666,0.40714285714285714,0.6923076923076923
LogisticRegression,0.46153846153846156,0.3833333333333333,0.4,0.3904761904761905,0.5384615384615384
KNN,0.46153846153846156,0.36666666666666664,0.4,0.36888888888888893,0.6153846153846154
Dummy-MostFrequent,0.0,0.0,0.0,0.0,2.4615384615384617
