区县,hospital,elderly,social
上城区,193,68,110
临安区,66,23,52
临平区,80,32,138
余杭区,82,35,146
富阳区,72,26,97
建德市,41,12,39
拱墅区,133,60,114
桐庐县,27,21,35
淳安县,43,15,9
滨江区,42,20,43
萧山区,181,74,217
西湖区,82,47,137
钱塘区,59,17,72
