Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MAE_Level
GCN-Feature,0.46153846153846156,0.35,0.4,0.37142857142857144,0.5384615384615384
GCN-Geo,0.38461538461538464,0.25,0.3333333333333333,0.2857142857142857,1.3076923076923077
GCN-Hybrid,0.38461538461538464,0.22999999999999998,0.3333333333333333,0.27142857142857146,0.9230769230769231
MLP-NoGraph,0.3076923076923077,0.25,0.26666666666666666,0.25142857142857145,0.7692307692307693
